key,image_path,text_offset_x,text_offset_y,anchor_x,anchor_y,motion,fontHeight,fontWeight,charactorSpace,lineSpace,alignment,v_alignment,colorR,colorG,colorB,baseR,baseG,baseB
b15x3_2_2,data/event/balloon/balloon_ed01.png,275,126,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b15x3_1_3,data/event/balloon/b15x3.png,275,66,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b15x3_2_3,data/event/balloon/balloon_ed01.png,275,106,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b15x3_3_3,data/event/balloon/balloon_ed01.png,275,146,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
c05x2,data/event/balloon/c05x2.png,125,79,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c05x2_1_1,data/event/balloon/c05x2.png,125,79,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
c11x2,data/event/balloon/c11x2.png,231,81,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c11x2_1_1,data/event/balloon/c11x2.png,231,81,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c11x2_1_2,data/event/balloon/c11x2.png,231,61,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c11x2_2_2,data/event/balloon/balloon_ed01.png,231,101,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
c15x3,data/event/balloon/c15x3.png,306,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_1_1,data/event/balloon/c15x3.png,306,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_1_2,data/event/balloon/c15x3.png,306,83,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_2_2,data/event/balloon/balloon_ed01.png,306,123,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_1_3,data/event/balloon/c15x3.png,306,63,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_2_3,data/event/balloon/balloon_ed01.png,306,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_3_3,data/event/balloon/balloon_ed01.png,306,143,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
d05x2,data/event/balloon/d05x2.png,125,83,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d05x2_1_1,data/event/balloon/d05x2.png,125,83,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
d11x2,data/event/balloon/d11x2.png,210,84,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d11x2_1_1,data/event/balloon/d11x2.png,210,84,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d11x2_1_2,data/event/balloon/d11x2.png,210,64,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d11x2_2_2,data/event/balloon/balloon_ed01.png,210,104,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
d15x3,data/event/balloon/d15x3.png,300,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_1_1,data/event/balloon/d15x3.png,300,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_1_2,data/event/balloon/d15x3.png,300,83,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_2_2,data/event/balloon/balloon_ed01.png,300,123,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_1_3,data/event/balloon/d15x3.png,300,63,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_2_3,data/event/balloon/balloon_ed01.png,300,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_3_3,data/event/balloon/balloon_ed01.png,300,143,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
a05x2_vs,data/event/balloon/a05x2.png,140,78,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a11x2_vs,data/event/balloon/a11x2.png,214,89,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
a15x3_vs,data/event/balloon/a15x3.png,307,102,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
b05x2_vs,data/event/balloon/b05x2.png,124,70,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b11x2_vs,data/event/balloon/b11x2.png,216,81,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
b15x3_vs,data/event/balloon/b15x3.png,275,106,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
c05x2_vs,data/event/balloon/c05x2.png,125,79,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c11x2_vs,data/event/balloon/c11x2.png,231,81,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
c15x3_vs,data/event/balloon/c15x3.png,306,102,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
d05x2_vs,data/event/balloon/d05x2.png,125,83,130,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d11x2_vs,data/event/balloon/d11x2.png,210,84,180,-80,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
d15x3_vs,data/event/balloon/d15x3.png,300,103,130,-50,1,34,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,
ed01,data/event/balloon/balloon_ed01.png,0,0,800,-505,2,30,-1,0,1,0,0,255,255,255,255,255,255
,,,,,,,,,,,,,,,,,,
0,data/event/balloon/hukidasi-l.png,145,256,0,165,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,data/event/balloon/hukidasi-m.png,122,221,0,162,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,data/event/balloon/hukidasi-s.png,98,109,0,74,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
